N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
0	CL001	QL1	H54	ya	ya	C	1	ya te	ya te	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
1	CL001	QL1	H54	te	te	C	1	ya te	ya te	2	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
2	CL001	QL1	H54	***	rre	I	0	*** no lu	rre lo lu	3	**	*	rr	e	Other	Other	Other	Aprox	Voiced	Coronal	0	0	0	0	0	
3	CL001	QL1	H54	no	lo	S	0	*** no lu	rre lo lu	3	n	o	l	o	nas	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
4	CL001	QL1	H54	lu	lu	C	1	*** no lu	rre lo lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
5	CL001	QL1	H54	chu	chu	C	1	chu lo	chu lo	2	ch	u	ch	u	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
6	CL001	QL1	H54	lo	lo	C	1	chu lo	chu lo	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
7	CL001	QL1	H54	pa	pa	C	1	pa ba ri no	pa ba ri no	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
8	CL001	QL1	H54	ba	ba	C	1	pa ba ri no	pa ba ri no	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
9	CL001	QL1	H54	ri	ri	C	1	pa ba ri no	pa ba ri no	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
10	CL001	QL1	H54	no	no	C	1	pa ba ri no	pa ba ri no	4	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
11	CL001	QL1	H54	ko	ko	C	1	ko pa di	ko pa ri	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
12	CL001	QL1	H54	pa	pa	C	1	ko pa di	ko pa ri	3	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
13	CL001	QL1	H54	di	ri	S	0	ko pa di	ko pa ri	3	d	i	r	i	Ocl	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
14	CL001	QL1	H54	li	li	C	1	li ga	li ga	2	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
15	CL001	QL1	H54	ga	ga	C	1	li ga	li ga	2	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
16	CL001	QL1	H54	be	be	C	1	be yo lu	be yo lu	3	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
17	CL001	QL1	H54	yo	yo	C	1	be yo lu	be yo lu	3	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
18	CL001	QL1	H54	lu	lu	C	1	be yo lu	be yo lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
19	CL001	QL1	H54	so	so	C	1	so te lo	so te lo	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
20	CL001	QL1	H54	te	te	C	1	so te lo	so te lo	3	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
21	CL001	QL1	H54	lo	lo	C	1	so te lo	so te lo	3	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
22	CL001	QL1	H54	ma	ma	C	1	ma re xa za	ma re xa za	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
23	CL001	QL1	H54	re	re	C	1	ma re xa za	ma re xa za	4	r	e	r	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
24	CL001	QL1	H54	xa	xa	C	1	ma re xa za	ma re xa za	4	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
25	CL001	QL1	H54	za	za	C	1	ma re xa za	ma re xa za	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
26	CL001	QL1	H54	nu	mu	S	0	nu me ro	mu me ro	3	n	u	m	u	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
27	CL001	QL1	H54	me	me	C	1	nu me ro	mu me ro	3	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
28	CL001	QL1	H54	ro	ro	C	1	nu me ro	mu me ro	3	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
29	CL001	QL1	H54	ka	ka	C	1	ka pi tu bo	ka pi tu po	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
30	CL001	QL1	H54	pi	pi	C	1	ka pi tu bo	ka pi tu po	4	p	i	p	i	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
31	CL001	QL1	H54	tu	tu	C	1	ka pi tu bo	ka pi tu po	4	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
32	CL001	QL1	H54	bo	po	S	0	ka pi tu bo	ka pi tu po	4	b	o	p	o	Ocl	Voiced	Frontal	Ocl	Vless	Frontal	0	1	1	0	1	
33	CL001	QL1	H54	bi	di	S	0	bi ka	di ka	2	b	i	d	i	Ocl	Voiced	Frontal	Ocl	Voiced	Coronal	0	1	1	1	0	
34	CL001	QL1	H54	ka	ka	C	1	bi ka	di ka	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
35	CL001	QL1	H54	ba	ba	C	1	ba fe	ba ze	2	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
36	CL001	QL1	H54	fe	ze	S	0	ba fe	ba ze	2	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
37	CL001	QL1	H54	ti	ti	C	1	ti bo	ti bo	2	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
38	CL001	QL1	H54	bo	bo	C	1	ti bo	ti bo	2	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
39	CL001	QL1	H54	ka	ka	C	1	ka yi	ka yi	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
40	CL001	QL1	H54	yi	yi	C	1	ka yi	ka yi	2	y	i	y	i	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
41	CL001	QL1	H54	fo	fo	C	1	fo bo xe ma	fo bo xe ma	4	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
42	CL001	QL1	H54	bo	bo	C	1	fo bo xe ma	fo bo xe ma	4	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
